"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39649","Should´t Register a New Fund With Exist CNPJ","","Fri Nov 21 16:36:05 BRT 2025","passed","Fri Nov 21 16:36:45 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Exist_CNPJ"
"","4142","Do Not Should Do Login With Invalid Email","","Fri Nov 21 16:34:07 BRT 2025","passed","Fri Nov 21 16:34:11 BRT 2025","","Login UI","LoginTests","Do_Not_Should_Do_Login_With_Invalid_Email"
"","24862","Should´t Register a New Fund With Agency Number empty","","Fri Nov 21 16:38:02 BRT 2025","passed","Fri Nov 21 16:38:26 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Max_Number_Agency_Empty"
"","15009","Should Process Receivable","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:12 BRT 2025","","Receivables UI","ReceivablesTests","Should_Process_Receivable"
"","24758","Should´t Register a New Fund Without type account ","","Fri Nov 21 16:38:51 BRT 2025","passed","Fri Nov 21 16:39:16 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Type_Account"
"","36773","Should´t Register a New Fund Without Consultant ","","Fri Nov 21 16:39:16 BRT 2025","passed","Fri Nov 21 16:39:53 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Consultant"
"","47927","Should Do Valid CRUD Of Assignors","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:45 BRT 2025","","Assignors UI","AssignorsTests","Should_Do_Valid_CRUD_Of_Assignors"
"","38706","Should´t Register a New Fund With ISIN code empty","","Fri Nov 21 16:35:27 BRT 2025","passed","Fri Nov 21 16:36:05 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_ISIN_code_empty"
"","3922","Do Not Should Do Login With Invalid Password","","Fri Nov 21 16:34:11 BRT 2025","passed","Fri Nov 21 16:34:15 BRT 2025","","Login UI","LoginTests","Do_Not_Should_Do_Login_With_Invalid_Password"
"","38551","Should Import a New Billing File","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:36 BRT 2025","","Billing File UI","BillingFileTests","Should_Import_a_New_Billing_File"
"","24967","Should´t Register a New Fund With Description account empty","","Fri Nov 21 16:38:26 BRT 2025","passed","Fri Nov 21 16:38:51 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Description_Account_Empty"
"","80398","Should Import a New Shipping File","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:35:18 BRT 2025","","Shipping File UI","ShippingFileTests","Should_Import_a_New_Shipping_File"
"","9307","Should Process Receivable Prorrogation","","Fri Nov 21 16:34:21 BRT 2025","passed","Fri Nov 21 16:34:31 BRT 2025","","Receivables UI","ReceivablesTests","Should_Process_Receivable_Prorrogation"
"","38361","Should´t Register a New Fund With Max Percent empty","","Fri Nov 21 16:37:23 BRT 2025","passed","Fri Nov 21 16:38:02 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Max_Percent_Empty"
"","36695","Should´t Register a New Fund Without Manager ","","Fri Nov 21 16:39:53 BRT 2025","passed","Fri Nov 21 16:40:30 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Managers"
"","9252","Should Process Receivable Partial","","Fri Nov 21 16:34:12 BRT 2025","passed","Fri Nov 21 16:34:21 BRT 2025","","Receivables UI","ReceivablesTests","Should_Process_Receivable_Partial"
"","45066","Should Register a New Fund","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:42 BRT 2025","","Funds UI","FundsTests","Should_Register_a_New_Fund"
"","38183","Should´t Register a New Fund With Empty CNPJ","","Fri Nov 21 16:36:45 BRT 2025","passed","Fri Nov 21 16:37:23 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Empty_CNPJ"
"","20478","Should Register New Drawee","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:18 BRT 2025","","Drawee UI","DraweeTests","Should_Register_New_Drawee"
"","38123","Shouldn´t Register a New Fund With Empty Fund Name","","Fri Nov 21 16:34:49 BRT 2025","passed","Fri Nov 21 16:35:27 BRT 2025","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Empty_Fund_Name"
"","6347","Should Consult a Fund","","Fri Nov 21 16:34:42 BRT 2025","passed","Fri Nov 21 16:34:49 BRT 2025","","Funds UI","FundsTests","Should_Consult_a_Fund"
"","9722","Should Do Login With Valid Credentials","","Fri Nov 21 16:33:57 BRT 2025","passed","Fri Nov 21 16:34:07 BRT 2025","","Login UI","LoginTests","Should_Do_Login_With_Valid_Credentials"
