"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9549","Should Process Receivable Prorrogation","","2025-12-12","passed","2025-12-12","","Receivables UI","ReceivablesTests","Should_Process_Receivable_Prorrogation"
"","40611","Should´t Register a New Fund With Exist CNPJ","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Exist_CNPJ"
"","38766","Should´t Register a New Fund With ISIN code empty","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_ISIN_code_empty"
"","2589","Do Not Should Do Login With Invalid Password","","2025-12-12","passed","2025-12-12","","Login UI","LoginTests","Do_Not_Should_Do_Login_With_Invalid_Password"
"","38976","Should´t Register a New Fund With Max Percent empty","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Max_Percent_Empty"
"","103674","Should Register a New Fund","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Should_Register_a_New_Fund"
"","79183","Should Process Receivable Partial","","2025-12-12","passed","2025-12-12","","Receivables UI","ReceivablesTests","Should_Process_Receivable_Partial"
"","25860","Should´t Register a New Fund With Description account empty","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Description_Account_Empty"
"","26169","Should´t Register a New Fund Without type account ","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Type_Account"
"","39484","Should´t Register a New Fund With Empty CNPJ","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Empty_CNPJ"
"","80150","Should Do Processing And Generating Report Of Fund and Back Date of Fund","","2025-12-12","broken","2025-12-12","","Closing Of Funds UI","ClosingOfFundsTests","Should_Do_Processing_And_Generating_Report_Of_Fund"
"","6371","Should Consult a Fund","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Should_Consult_a_Fund"
"","84362","Should Register New Drawee","","2025-12-12","passed","2025-12-12","","Drawee UI","DraweeTests","Should_Register_New_Drawee"
"","121866","Should Do Valid CRUD Of Assignors","","2025-12-12","broken","2025-12-12","","Assignors UI","AssignorsTests","Should_Do_Valid_CRUD_Of_Assignors"
"","97810","Should Import a New Billing File","","2025-12-12","passed","2025-12-12","","Billing File UI","BillingFileTests","Should_Import_a_New_Billing_File"
"","25959","Should´t Register a New Fund With Agency Number empty","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Number_Agency_Empty"
"","37823","Should´t Register a New Fund Without Consultant ","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Consultant"
"","104171","Should Process Receivable","","2025-12-12","broken","2025-12-12","","Receivables UI","ReceivablesTests","Should_Process_Receivable"
"","2973","Do Not Should Do Login With Invalid Email","","2025-12-12","passed","2025-12-12","","Login UI","LoginTests","Do_Not_Should_Do_Login_With_Invalid_Email"
"","144279","Should Import a New Shipping File","","2025-12-12","passed","2025-12-12","","Shipping File UI","ShippingFileTests","Should_Import_a_New_Shipping_File"
"","38814","Shouldn´t Register a New Fund With Empty Fund Name","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_With_Empty_Fund_Name"
"","37410","Should´t Register a New Fund Without Manager ","","2025-12-12","passed","2025-12-12","","Funds UI","FundsTests","Shouldnt_Register_a_New_Fund_Without_Managers"
"","47005","Should Do Login With Valid Credentials","","2025-12-12","passed","2025-12-12","","Login UI","LoginTests","Should_Do_Login_With_Valid_Credentials"
